date,ticker,momentum,trend,mean_reversion,breakout,volume,rel_strength,news,score,ml_prob,price_eur
2026-09-25,CMCSA,-0.3188,-0.876,0.126,-0.6144,0.0,-0.8822,-0.477,-0.609,0.493,19.2326
2026-09-25,COF,-0.1184,-0.0502,0.0,0.0,0.0,-0.5585,0.429,-0.051,0.492,175.7356
2026-09-25,COP,0.7672,0.8025,0.0,0.0,0.0,-0.1582,0.725,0.597,0.524,111.7439
2026-09-25,COST,-0.004,-0.6734,0.0,0.0,0.4483,-0.1236,0.575,-0.467,0.438,810.0031
2026-09-25,CRM,0.952,0.8743,0.0,0.0,0.0,-0.5239,-0.142,0.643,0.531,205.4228
2026-09-25,CSCO,-0.3933,0.1928,0.0,0.0,0.0,-0.3895,0.208,0.101,0.565,93.6613
2026-09-25,CVS,-0.6208,0.0555,0.0,0.0,0.52,-0.3353,0.325,-0.029,0.523,78.2383
2026-09-25,CVX,0.8928,0.814,0.0,0.0,0.0,0.1635,0.784,0.612,0.516,179.4662
2026-09-25,DE,0.4678,0.8943,0.0,0.0,0.0,0.6904,0.457,0.619,0.521,606.0858
2026-09-25,DHR,0.7209,0.8077,0.0,0.0,0.0,0.2953,0.373,0.597,0.532,197.0573
2026-09-25,DIS,0.6083,0.6521,0.0,0.0,0.0,-0.0725,0.239,0.507,0.512,93.1785
2026-09-25,DUK,-0.8334,-0.7404,0.2355,-0.2514,0.0,-0.4764,0.43,-0.59,0.468,99.4986
2026-09-25,EMR,0.6501,0.7919,0.0,0.1,0.0,0.0039,0.086,0.584,0.525,138.8943
2026-09-25,F,-0.2473,-0.0859,0.0,0.0,0.0,-0.6252,0.396,-0.092,0.523,11.1568
2026-09-25,FDX,-0.4272,-0.0639,0.0,0.0,0.0,-0.7988,-0.392,-0.096,0.518,250.9191
2026-09-25,GD,-0.528,-0.093,0.3404,-0.5134,0.0,-0.7328,0.0,-0.168,0.522,295.5728
2026-09-25,GE,-0.6453,0.0262,0.0,0.0,0.0,-0.3692,0.512,-0.054,0.5,287.1196
2026-09-25,GILD,0.874,0.8184,0.0,0.0,0.0,0.1337,0.106,0.613,0.535,132.4863
2026-09-25,GM,0.3676,0.0554,0.0,0.0,0.0,-0.324,0.375,0.083,0.514,72.5326
2026-09-25,GOOGL,-0.2434,0.036,0.0,0.0,0.0,0.0595,0.542,-0.0,0.508,301.893
